Symbol,P/E FWD,EPS FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
FSLR,14.08,NM,4.85159,2.91,Information Technology,2.91,10.33%,191.27,19958773800,107057728,694142980,-11.98%,162.15%,10/29/2024,2.19%,2.60%,2/26/2025,D+
ITW,24.67,3.14%,2.51164,2.65,Industrials,3.36,2.32%,250.36,74501235000,295300000,8345999900,-0.42%,11.98%,10/30/2024,-1.44%,-0.76%,1/31/2025,A-
LI,21.05,NM,0.389396534,0.509981877,Consumer Discretionary,3.05,-,23.9,24688191500,997502660,2235874050,5.93%,56.67%,10/31/2024,1.73%,-3.43%,2/25/2025,B
LVS,21.53,NM,0.57964,0.44,Consumer Discretionary,2.88,-3.76%,50.93,36554953000,725009020,14012000300,8.00%,131.59%,10/23/2024,-1.77%,1.01%,1/22/2025,D-
MPWR,44.14,10.05%,3.97646,4.06,Information Technology,3.10,27.11%,631.1,30237257700,48780000,16296000,-18.96%,-3.87%,10/30/2024,2.27%,1.81%,2/7/2025,B
NIO,-,NM,-0.31840811,-0.295339433,Consumer Discretionary,2.80,49.65%,4.71,9733990400,2102373760,4827797500,-3.63%,NM,11/20/2024,2.59%,1.73%,2/28/2025,C
PDD,8.67,46.90%,2.652535175,2.568460029,Consumer Discretionary,3.13,71.61%,99.02,1.34461E+11,1388770560,1458736770,-22.19%,133.06%,11/21/2024,-1.43%,2.27%,3/21/2025,C-
ROST,24.93,15.50%,1.65401,1.48,Consumer Discretionary,3.24,6.19%,154.95,50891579000,329929184,5734475800,6.77%,26.04%,11/21/2024,1.98%,0.45%,3/4/2025,B+
SNOW,231.73,58.29%,0.17585,0.2,Information Technology,3.39,96.15%,163.08,53548823000,330100000,2595628030,17.45%,NM,11/20/2024,0.99%,0.53%,2/28/2025,B+
XPEV,NM,NM,-0.188455055,-0.223775451,Consumer Discretionary,4.35,401.13%,11.75,11103288300,948188610,2196795650,23.10%,NM,11/19/2024,-5.55%,0.34%,3/18/2025,B+
COF,13.24,-4.90%,2.73865,4.51,Financials,4.81,3.67%,183.52,68835910000,381510336,52871000000,18.74%,-20.40%,10/24/2024,0.55%,1.71%,1/21/2025,B-
COST,50.68,12.15%,4.04018,4.04,Consumer Staples,3.47,10.84%,922.71,4.06869E+11,443898880,8129999900,7.16%,16.01%,12/12/2024,-2.27%,0.67%,3/6/2025,A
DFS,12.58,-5.76%,3.03129,3.69,Financials,4.66,7.58%,179.21,44231012000,251226912,18214000600,24.84%,9.90%,10/16/2024,1.13%,1.79%,1/22/2025,B-
LULU,26.69,14.79%,5.66064,2.87,Consumer Discretionary,4.45,22.12%,395.31,46056092000,121783528,1514100990,20.83%,76.60%,12/3/2024,-0.78%,4.53%,3/24/2025,A-
NRG,15.89,60.69%,0.60917,1.85,Utilities,3.10,23.93%,98.72,19952787500,202566368,10912000000,18.95%,NM,11/8/2024,6.67%,0.22%,2/21/2025,D+
GOOGL,24.05,25.34%,2.1167,2.12,Communication Services,3.49,16.99%,196.87,2.35512E+12,12241000400,29289001000,12.87%,44.62%,10/29/2024,-0.15%,2.65%,1/30/2025,A-
IMO,10.26,-12.95%,1.402378985,1.669484967,Energy,3.93,8.97%,63.14,32268851200,517860928,3225591810,-11.55%,2.39%,11/1/2024,0.25%,1.17%,1/31/2025,A-
PR,10.22,-1.22%,0.3551,0.35,Energy,3.87,39.60%,14.94,12162934800,702954690,4313736200,-1.13%,85.31%,11/6/2024,7.32%,-1.32%,2/24/2025,B+
CTRA,16.22,-15.89%,0.426,0.32,Energy,3.59,20.19%,26.24,19328725000,736612990,2361999870,1.68%,-43.18%,10/31/2024,5.47%,0.00%,2/21/2025,C
ALEX,-,-,0.15,-,Real Estate,4.33,-18.00%,17.41,1285603200,72632944,475484992,-1.60%,25.66%,10/24/2024,0.62%,-1.64%,2/26/2025,A-
ANET,52.55,29.01%,0.56692,0.6,Information Technology,3.46,21.93%,118.98,1.45124E+11,1259759490,69800000,30.98%,38.55%,11/7/2024,2.27%,3.28%,2/13/2025,B+
ARM,90.71,-,0.34113,0.3,Information Technology,3.13,-,147.41,1.48275E+11,1051000000,263000000,3.98%,241.34%,11/6/2024,8.49%,4.49%,2/6/2025,C-
CPAY,17.99,11.14%,5.31211,5,Financials,3.15,8.38%,342.37,23830700000,69710984,7896143900,10.37%,9.84%,11/7/2024,0.06%,0.15%,2/7/2025,C+
HSY,18.68,-1.74%,2.37841,2.34,Consumer Staples,2.78,6.77%,166.74,34204022800,202354752,5644224000,-10.60%,-6.29%,11/7/2024,-0.36%,-1.35%,1/31/2025,F
KR,13.85,3.79%,1.09287,0.98,Consumer Staples,3.24,4.26%,60.62,44472832000,723606140,29780000800,10.74%,47.12%,12/5/2024,-0.30%,-1.37%,3/4/2025,C+
LEN,10.95,4.49%,1.72699,4.03,Consumer Discretionary,2.79,9.75%,135.06,36727325000,271244832,4398990800,-18.04%,4.22%,12/18/2024,-0.90%,-0.60%,3/14/2025,D+
MELI,54.70,69.04%,7.919,7.83,Consumer Discretionary,3.01,55.26%,1799.42,92987605000,50697376,6339999700,2.20%,43.80%,11/6/2024,5.78%,-1.89%,2/20/2025,F
MTCH,10.59,21.42%,0.83779,0.79188,Communication Services,3.64,5.97%,33.38,8205654000,251090992,3939904000,-3.57%,27.03%,11/6/2024,-1.15%,2.74%,1/28/2025,C+
NCLH,15.30,NM,0.10504,0.99,Consumer Discretionary,4.74,8.02%,25.64,11177383900,439708288,14085631000,24.56%,NM,10/31/2024,-2.15%,0.87%,2/26/2025,A-
NKE,35.31,-7.15%,0.29761,0.78,Consumer Discretionary,2.97,3.73%,72,1.08435E+11,1479126910,12065000400,-12.30%,-5.35%,12/19/2024,-3.32%,-1.79%,3/21/2025,F
PINS,20.36,NM,0.64544,0.4,Communication Services,2.97,27.87%,32.41,20910063600,675826240,154402000,-11.27%,NM,11/7/2024,3.96%,4.75%,2/5/2025,C+
SHEL,7.91,-12.49%,1.756,1.92,Energy,3.37,-3.95%,64.75,1.98204E+11,6214409700,76612002000,-6.67%,-42.73%,10/31/2024,4.21%,0.36%,1/30/2025,B+
SU,9.95,-20.63%,0.754331266,1.061715819,Energy,3.19,6.38%,36.96,45844935000,1258183940,11119492100,-5.33%,0.27%,11/12/2024,3.15%,1.45%,2/1/2025,B
TOL,8.77,9.04%,2.04876,4.63,Consumer Discretionary,2.96,8.47%,126.1,12627670000,100037000,2961507070,-6.30%,21.44%,12/9/2024,0.05%,-0.10%,2/21/2025,C+
TRIP,12.39,22.17%,0.20914,0.5,Communication Services,2.73,2.92%,15.23,2088644610,139335872,909000000,-14.84%,NM,11/6/2024,3.55%,1.60%,2/14/2025,B-
TTWO,75.05,30.34%,0.58108,0.5741,Communication Services,4.37,11.36%,188.98,33149669400,175627392,4112399870,18.79%,NM,11/6/2024,2.25%,0.12%,2/5/2025,B
ZTS,27.78,9.49%,1.35698,1.58,Health Care,3.28,8.28%,165.9,73679757000,451165024,6775000100,-7.28%,8.38%,11/4/2024,-0.33%,1.59%,2/14/2025,B+
ADM,10.60,-15.28%,1.14741,1.09,Consumer Staples,2.79,6.24%,49.63,23950602200,478533504,11349000200,-14.89%,-50.54%,11/4/2024,-0.49%,-0.84%,1/24/2025,D
BG,8.25,-13.24%,2.26849,2.29,Consumer Staples,2.87,5.40%,77.98,10790382600,139627104,7078000100,-21.26%,-38.35%,10/30/2024,-1.02%,0.91%,2/13/2025,B-
CAG,11.24,-2.33%,0.58712,0.7,Consumer Staples,2.80,2.52%,26.89,13197911000,477320448,8463600100,-6.78%,-49.81%,12/19/2024,0.58%,-2.75%,4/4/2025,D
CTVA,21.85,6.02%,0.32428,-0.49,Materials,2.87,3.99%,56.94,38447170000,687292990,5715999700,-0.58%,-39.38%,11/6/2024,-1.60%,1.79%,2/5/2025,C-
DAR,20.27,-13.06%,0.71032,0.20699,Consumer Staples,2.66,11.98%,34.55,5517383700,159048256,4464297000,-11.43%,-63.37%,10/24/2024,3.16%,-0.40%,2/26/2025,F
INGR,12.97,14.42%,2.54824,3.05,Consumer Staples,4.62,2.94%,134.07,8895971300,65157632,1840000000,7.01%,9.78%,11/5/2024,-1.09%,-1.80%,2/4/2025,A
KLG,11.83,-,0.25911,0.31,Consumer Staples,3.85,-,17.59,1559728130,86125248,592000000,-2.46%,NM,11/7/2024,0.97%,-2.87%,2/13/2025,B
OXY,14.73,-27.49%,0.73697,1,Energy,3.13,7.34%,50.77,47395709000,938343040,27648999400,-11.95%,-20.26%,11/12/2024,4.49%,0.51%,2/18/2025,B
PPC,9.22,9.58%,1.105,1.63,Consumer Staples,4.83,10.39%,46.51,11362936800,237123056,3455380990,13.74%,2988.85%,10/30/2024,3.42%,-2.94%,2/14/2025,A+
SMG,20.37,51.32%,-1.23012,-2.31,Materials,2.76,2.40%,67.3,3826979330,57453524,2517900030,-8.16%,NM,11/6/2024,-0.11%,1.04%,1/29/2025,C-
SWKS,16.60,-9.36%,1.57165,1.55,Information Technology,2.73,4.35%,90.905,14208949200,159920656,1200400000,-9.95%,-39.80%,11/12/2024,-0.45%,2.31%,1/29/2025,D-
KRC,25.35,-14.03%,0.32256,0.44,Real Estate,4.89,6.71%,39.53,4842983900,118046672,5129761800,11.74%,-9.23%,10/28/2024,-0.06%,-2.71%,1/31/2025,A+
BABA,9.84,7.73%,2.740339485,2.082728291,Consumer Discretionary,3.39,16.68%,85.52,1.93724E+11,2264719620,33291296800,1.89%,-32.12%,11/15/2024,0.90%,-0.02%,2/21/2025,B-
