Symbol,P/E FWD,EPS FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
LUV,43.27,12.09%,0.38827,0.15,Industrials,3.31,4.09%,33.83,20157167600,599737220,9095000100,15.11%,NM,10/24/2024,-0.17%,0.65%,1/30/2025,A-
ALK,14.73,10.79%,0.44958,2.25,Industrials,4.11,4.53%,64.4,8121912800,126944560,6142000100,44.15%,24.49%,10/31/2024,-2.59%,0.66%,1/23/2025,C+
X,14.99,-37.78%,-0.06662,0.56,Materials,2.58,3.35%,32.95,6860958700,225170944,4320000000,-19.26%,-65.16%,10/31/2024,-3.40%,8.14%,1/30/2025,C
CHTR,10.61,5.43%,9.30414,8.82,Communication Services,3.37,3.94%,349.55,57084191000,142197312,96313000000,10.93%,4.09%,11/1/2024,2.39%,-2.46%,1/31/2025,B
CL,25.14,9.02%,0.89863,0.91,Consumer Staples,3.23,5.36%,87.54,73653535000,817010940,8435999700,-6.32%,82.83%,10/25/2024,-1.56%,-2.90%,1/31/2025,B+
ROK,30.08,-2.79%,1.59031,2.47,Industrials,2.84,4.30%,281.46,31926087700,112896808,4084999940,3.66%,-30.71%,11/7/2024,-1.70%,-0.47%,1/24/2025,C-
DAL,9.76,32.04%,1.74321,1.5,Industrials,4.33,5.42%,60.04,37825765000,641114620,25487999000,16.32%,35.88%,10/10/2024,-3.01%,1.76%,1/10/2025,C+
UAL,9.30,70.06%,2.92962,3.33,Industrials,4.95,5.49%,98.57,31463557100,328875904,33358999600,58.66%,-3.01%,10/15/2024,-2.43%,3.03%,1/17/2025,A-
AAL,10.13,66.40%,0.59974,0.3,Industrials,4.80,3.38%,17.52,11151512600,657131010,39173001000,32.40%,-81.89%,10/24/2024,-1.25%,3.24%,1/22/2025,B+
WFC,13.18,21.05%,1.33392,1.50958,Financials,4.94,-1.42%,72.03,2.37426E+11,3329490690,3.09554E+11,16.41%,1.87%,10/11/2024,0.96%,1.01%,1/15/2025,B+
C,11.92,1.32%,1.22079,1.5553,Financials,3.30,1.26%,72.74,1.3428E+11,1891264770,6.69378E+11,11.57%,-44.70%,10/15/2024,1.07%,2.45%,1/15/2025,B
SCHW,23.77,0.02%,0.89239,0.77,Financials,4.68,11.68%,74.48,1.36285E+11,1830555780,68103999000,4.16%,-14.84%,10/15/2024,0.13%,0.04%,1/17/2025,B
PNC,14.59,2.88%,3.28568,3.7736,Financials,4.86,4.86%,195.59,77622739000,396783424,70429000000,11.61%,-17.76%,10/15/2024,1.34%,-0.02%,1/16/2025,B
BK,13.19,12.86%,1.54765,1.52,Financials,3.44,2.53%,77.92,55934136000,727078340,71076004000,15.22%,3.71%,10/11/2024,-0.59%,1.29%,1/15/2025,B+
MS,17.13,9.25%,1.64155,1.88,Financials,3.43,8.31%,128.64,2.02894E+11,1611035520,4.24726E+11,18.69%,17.45%,10/16/2024,0.56%,2.14%,1/16/2025,B+
USB,12.49,5.63%,1.04586,1.03,Financials,4.82,3.16%,48.73,76223152000,1560031740,82304000000,9.45%,-3.14%,10/16/2024,1.21%,-0.27%,1/16/2025,B
LRCX,21.24,6.84%,0.88119,0.86,Information Technology,3.07,10.44%,77.98,96642908000,1286685060,4983769100,-13.10%,4.73%,10/23/2024,2.90%,3.82%,1/27/2025,C-
FCX,24.19,-4.73%,0.34892,0.38,Materials,2.91,12.58%,38.57,54186545000,1436927740,9678999600,-19.06%,-7.90%,10/22/2024,-2.17%,2.28%,1/23/2025,C+
KMB,17.73,10.65%,1.50353,1.83,Consumer Staples,3.20,1.74%,126.12,43273052000,333485312,7477000200,-5.14%,48.45%,10/22/2024,-1.20%,-2.81%,1/24/2025,B+
MDLZ,17.16,4.84%,0.67475,0.99,Consumer Staples,3.69,7.04%,58.22,80044450000,1337194240,20425001000,-12.42%,-15.58%,10/29/2024,0.33%,-2.74%,1/27/2025,C+
MO,10.35,3.40%,1.28567,1.38,Consumer Staples,3.34,0.58%,52.09,90062365000,1694812930,25155000300,7.89%,20.56%,10/31/2024,0.48%,-1.98%,1/30/2025,B+
NXPI,16.10,-3.27%,3.12669,3.45,Information Technology,2.78,7.56%,213.41,53082935000,254155584,10181999600,-14.70%,-2.88%,11/4/2024,-0.84%,2.18%,2/3/2025,F
UPS,16.57,-12.30%,2.52,1.76,Industrials,3.24,4.33%,124.21,1.05639E+11,853369540,26242000900,-8.83%,-33.15%,10/24/2024,-1.12%,0.34%,1/30/2025,B
SBUX,29.74,1.81%,0.67972,0.8,Consumer Discretionary,3.07,6.42%,93.13,1.04967E+11,1133799940,25822300200,4.98%,-7.54%,10/30/2024,2.32%,0.59%,1/29/2025,D-
GM,5.02,11.62%,1.68703,2.96,Consumer Discretionary,4.89,4.76%,53.53,56926077000,1099595780,1.29473E+11,8.17%,30.21%,10/22/2024,-1.72%,3.40%,1/28/2025,B+
EA,18.67,9.49%,3.42458,1.9557,Communication Services,3.21,7.82%,145.25,38367891000,262272816,2219000060,2.14%,7.92%,10/29/2024,-0.78%,-0.71%,2/4/2025,B+
PHM,8.33,6.79%,3.31281,3.35,Consumer Discretionary,3.94,11.18%,108.93,22569293800,205082176,2244738050,-10.65%,10.14%,10/22/2024,0.42%,-1.02%,1/30/2025,B+
DHI,9.93,4.95%,2.37899,3.92,Consumer Discretionary,2.86,15.91%,139.36,44928406000,321169536,6033999900,-14.18%,3.76%,10/29/2024,0.16%,-0.38%,1/21/2025,D+
QCOM,14.14,13.23%,2.95512,2.69,Information Technology,3.24,9.93%,159.85,1.75349E+11,1111000060,15440000000,-10.25%,37.12%,11/6/2024,1.41%,1.28%,1/31/2025,C+
TMUS,23.04,72.83%,2.34623,2.6137,Communication Services,3.47,12.42%,212.38,2.54274E+11,1160486660,1.1711E+11,12.54%,36.23%,10/23/2024,-0.84%,-3.07%,1/29/2025,B+
ALGN,22.29,9.83%,2.43865,2.35,Health Care,2.59,11.57%,218.88,15547246600,74653056,127603000,-16.06%,24.62%,10/23/2024,-1.04%,5.10%,2/5/2025,D
LLY,59.52,41.79%,5.44445,1.18,Health Care,3.14,13.35%,765.1,7.0412E+11,900432060,31230699500,-6.85%,67.52%,10/30/2024,0.25%,-2.16%,1/31/2025,D
MRK,12.81,8.30%,1.80818,1.57,Health Care,3.19,6.56%,99.72,2.50788E+11,2529635580,38130999000,-15.27%,165.47%,10/31/2024,-0.07%,0.59%,2/4/2025,D
EL,45.76,-7.48%,0.31426,0.14,Consumer Staples,1.42,0.28%,73.57,25903853600,358978016,10010000400,-29.75%,-63.25%,10/31/2024,-2.99%,1.95%,2/4/2025,D-
F,5.51,-3.19%,0.34528,0.49,Consumer Discretionary,3.16,2.96%,9.92,39265972000,3974288640,1.59336E+11,-14.24%,-42.66%,10/28/2024,-0.15%,0.40%,1/31/2025,C-
PH,23.79,11.04%,6.22864,6.2,Industrials,3.14,7.11%,641,82082447000,128720432,10188915700,8.39%,22.91%,10/31/2024,-0.67%,0.52%,1/30/2025,B
BIIB,9.26,-2.07%,3.42396,4.08,Health Care,3.16,-7.56%,153.27,22179940400,145719344,6650900000,-23.31%,10.05%,10/30/2024,1.56%,0.70%,2/13/2025,B+
CMI,17.21,10.76%,4.76234,5.86,Industrials,3.35,7.23%,358.04,48610390000,137181856,8193999900,13.96%,-23.86%,11/5/2024,0.94%,1.04%,2/5/2025,A-
ROP,28.18,12.02%,4.74673,4.62,Information Technology,3.20,4.84%,507.1,55184409000,107229152,8376600100,-5.75%,17.45%,10/23/2024,-1.40%,-1.47%,1/30/2025,B
LITE,56.69,-6.76%,0.35063,0.18,Information Technology,4.20,-3.66%,90.44,6138345000,68700000,2621700100,51.10%,NM,11/7/2024,5.24%,1.22%,2/5/2025,C-
REGN,15.93,-0.04%,11.22443,12.46,Health Care,2.87,15.90%,716.26,77265420000,107589528,2704000000,-26.04%,15.31%,10/31/2024,0.91%,-0.26%,2/3/2025,C-
APD,22.05,7.07%,2.83682,3.56,Materials,3.52,6.29%,283.24,63136899000,222383504,15047499800,1.73%,67.38%,11/7/2024,-2.49%,-0.24%,1/29/2025,C
CLX,23.81,12.70%,1.39732,1.86,Consumer Staples,4.71,3.94%,157.59,20162738200,123781320,2884000000,8.30%,316.16%,10/30/2024,-0.10%,-3.25%,1/31/2025,A+
ETN,31.75,16.84%,2.81852,2.84,Industrials,3.34,2.63%,348.56,1.35388E+11,395200000,10078000100,5.05%,25.82%,10/31/2024,1.76%,1.75%,2/3/2025,B+
UNP,21.12,2.39%,2.76886,2.75,Industrials,3.07,1.77%,230.01,1.40348E+11,606256640,32696000500,-2.75%,4.44%,10/24/2024,1.40%,-0.64%,1/23/2025,C-
PPG,14.00,13.20%,1.64346,2.13,Materials,2.79,3.58%,115.07,26476785700,231703728,7277000200,-10.93%,5.55%,10/16/2024,-4.03%,0.70%,1/16/2025,C
TRV,12.81,19.59%,6.57455,5.24,Financials,4.85,7.68%,241.88,55004426000,227018960,8032999900,6.04%,109.85%,10/17/2024,0.46%,-0.17%,1/22/2025,B+
WY,59.83,-33.93%,0.05171,0.05,Real Estate,3.08,1.60%,28.5,20605866000,726582020,5096000000,-8.78%,-15.17%,10/24/2024,1.43%,0.49%,1/30/2025,A+
TSN,16.75,46.36%,0.86547,0.92,Consumer Staples,3.75,4.68%,56.8,20704194600,355864480,10481000400,-2.86%,NM,11/12/2024,0.53%,-2.37%,2/3/2025,C+
SPG,26.63,-1.09%,1.82362,1.46,Real Estate,2.60,0.95%,174.41,66109579000,326278144,25939648500,9.80%,11.38%,11/1/2024,2.12%,-0.94%,2/5/2025,D+
DIS,20.48,17.35%,1.43702,1.14,Communication Services,3.47,5.59%,111.05,2.01304E+11,1810939260,49516999000,8.73%,111.22%,11/14/2024,-0.36%,-0.10%,2/5/2025,A-
CVS,8.60,-10.69%,1.01427,1.09,Health Care,3.05,8.58%,45.82,57597317000,1258407680,82703999000,-23.13%,-40.58%,11/6/2024,2.91%,0.11%,2/12/2025,D
PEP,18.36,8.24%,1.94811,2.31,Consumer Staples,4.03,6.84%,146.27,2.07704E+11,1387929340,45014000000,-11.62%,13.04%,10/8/2024,-1.37%,-2.26%,2/4/2025,C+
MCO,39.51,15.90%,2.27306,3.21,Financials,3.34,8.17%,473.14,86836675000,181230672,8048999900,7.73%,33.08%,10/22/2024,1.10%,-1.25%,2/7/2025,B
DE,21.41,-13.13%,3.15376,4.55,Industrials,3.06,5.61%,418,1.14665E+11,271575296,66025001000,6.48%,-26.02%,11/21/2024,-1.28%,-1.00%,2/13/2025,C-
AMAT,18.02,9.47%,2.30183,2.32,Information Technology,2.99,13.22%,177.48,1.38375E+11,813684610,6605000200,-15.05%,6.17%,11/14/2024,2.73%,4.36%,2/14/2025,D+
VMC,36.10,21.18%,1.78048,2.22,Materials,2.81,8.90%,257.38,33956911100,132061256,3905100030,-0.74%,2.40%,10/30/2024,-1.34%,0.10%,2/14/2025,C-
LOW,20.87,-3.09%,1.82022,2.89,Consumer Discretionary,3.42,3.13%,249.74,1.40304E+11,564649980,39777001000,0.92%,-7.44%,11/19/2024,0.33%,0.51%,2/26/2025,A-
BBY,13.48,-2.14%,2.41252,1.26,Consumer Discretionary,3.03,-0.47%,84.77,17877588000,213795600,4080999940,-3.58%,0.54%,11/26/2024,-2.97%,1.38%,3/5/2025,C
STX,11.98,265.40%,1.87383,1.58,Information Technology,3.29,-6.15%,89.11,18857855000,211529504,5676000300,-9.41%,NM,10/22/2024,1.76%,-0.04%,2/3/2025,B-
WBA,6.22,-27.64%,0.37115,0.39,Consumer Staples,2.93,4.22%,9.47,8203132900,863487680,33848000500,-23.58%,NM,10/15/2024,1.10%,-0.32%,1/10/2025,C-
SHOP,82.39,235.98%,0.42858,-,Information Technology,3.48,42.11%,114.24,1.41162E+11,1292099460,1140999940,40.13%,NM,11/12/2024,0.84%,4.57%,2/13/2025,B+
OKTA,29.10,NM,0.73618,0.67,Information Technology,3.39,36.52%,84.38,13838618600,171354864,960000000,-7.24%,NM,12/3/2024,-0.84%,4.48%,2/28/2025,B+
NET,154.42,87.03%,0.18101,0.2,Information Technology,4.78,43.48%,113.99,39374639000,343193920,1450733950,31.97%,NM,11/7/2024,3.12%,-0.64%,2/7/2025,B
ZS,62.05,26.00%,0.69164,0.77,Information Technology,4.24,47.16%,188.71,28515033100,153438624,1238765060,0.39%,NM,12/2/2024,0.62%,1.54%,2/24/2025,B
CRWD,95.46,41.81%,0.85876,0.93,Information Technology,3.39,55.62%,366.36,88430723000,246311408,791950980,13.25%,NM,11/26/2024,0.89%,2.04%,3/6/2025,B
NOW,77.22,29.80%,3.65147,3.72,Information Technology,3.44,26.55%,1077.05,2.21537E+11,206316992,2244999940,25.46%,-17.03%,10/23/2024,-0.54%,0.31%,1/22/2025,B
TTD,74.20,113.41%,0.56831,0.41,Communication Services,3.27,30.70%,126.58,60137046000,493573920,293212992,16.98%,104.92%,11/7/2024,-0.05%,3.89%,2/14/2025,B
DDOG,81.92,26.44%,0.43205,0.46,Information Technology,3.41,52.18%,146.04,49202090000,339723040,969244030,15.68%,NM,11/7/2024,-0.89%,0.84%,2/10/2025,B+
HUBS,87.84,48.72%,2.19601,2.18,Information Technology,4.64,31.69%,707.71,36283625000,51623568,758009980,19.43%,NM,11/6/2024,-0.83%,0.69%,2/13/2025,B
TWLO,30.88,NM,1.00236,1.02,Information Technology,4.93,33.91%,113.01,17346162700,153383696,1125934980,61.01%,NM,10/30/2024,3.31%,-0.07%,2/12/2025,B+
CRM,33.17,28.92%,2.61467,2.41,Information Technology,3.23,18.60%,330.53,3.18585E+11,957000000,12177999900,17.89%,131.07%,12/3/2024,-1.54%,-0.71%,2/26/2025,D+
SAP,50.09,13.47%,1.5061,1.33189,Information Technology,3.16,4.31%,247.05,2.8155E+11,1163363460,12140074000,13.39%,-18.74%,10/21/2024,-2.63%,2.34%,1/28/2025,D+
FTNT,43.34,26.73%,0.60737,0.63,Information Technology,3.47,22.72%,97.94,74706141000,766452670,1076899970,33.07%,38.00%,11/7/2024,1.38%,0.48%,2/6/2025,A-
ADSK,35.35,11.73%,2.1384,2.17,Information Technology,3.35,13.88%,292.51,63178060000,214847520,2577999870,13.99%,18.55%,11/26/2024,-0.95%,-0.53%,2/25/2025,B
PANW,57.39,17.79%,0.77865,0.78,Information Technology,3.43,22.41%,179.5,1.20249E+11,656200000,1098300030,8.93%,332.61%,11/20/2024,-1.41%,-2.05%,2/20/2025,B+
DBX,12.49,17.58%,0.62492,0.6,Information Technology,4.71,9.80%,30.07,9291905000,309730176,2023100030,21.38%,9.62%,11/7/2024,-0.77%,0.23%,2/14/2025,A-
ADBE,21.07,12.79%,4.97224,4.81,Information Technology,3.08,14.00%,431.18,1.89537E+11,440200000,6056000000,-15.34%,4.57%,12/11/2024,-2.98%,0.14%,3/12/2025,C-
ADP,29.30,9.73%,2.30405,2.33,Industrials,3.59,6.43%,287.13,1.18851E+11,407456896,9448299500,9.18%,11.16%,10/30/2024,-0.66%,-1.56%,1/29/2025,C-
ORCL,27.00,11.27%,1.49275,1.47,Information Technology,3.29,6.77%,165.69,4.6519E+11,2796955900,99543998000,12.06%,13.17%,12/9/2024,-1.33%,-0.38%,3/7/2025,D+
INTU,32.67,15.31%,2.57614,2.5,Information Technology,3.14,19.07%,625.16,1.76412E+11,279916800,6781000200,-0.43%,12.51%,11/21/2024,-0.92%,-0.80%,2/21/2025,C-
CSCO,16.11,0.38%,0.90706,0.91,Information Technology,3.47,0.38%,58.77,2.34425E+11,3982758140,33290000400,15.13%,-29.70%,11/13/2024,-0.39%,-0.15%,2/12/2025,B+
ZM,15.11,7.04%,1.34783,1.38,Information Technology,3.41,53.66%,82.34,25347131400,306494944,66574000,22.24%,289.91%,11/25/2024,-1.37%,-0.44%,2/26/2025,B
MU,12.99,NM,1.45105,1.79,Information Technology,3.21,7.11%,99.26,1.00131E+11,1114171900,14442999800,-18.70%,NM,12/18/2024,1.97%,10.45%,3/25/2025,D+
TER,41.14,-0.04%,0.90696,0.9,Information Technology,3.28,4.85%,140,21269706800,162861456,79462000,3.53%,2.63%,10/23/2024,2.13%,7.20%,1/24/2025,B+
QRVO,14.66,1.72%,1.21372,1.88,Information Technology,1.63,4.99%,72.14,6676420600,94526696,1961422980,-29.22%,NM,10/29/2024,0.07%,2.14%,1/29/2025,D
MRVL,75.88,9.20%,0.59004,0.43,Information Technology,3.48,14.55%,119.01,1.02261E+11,865299970,4341300200,52.64%,NM,12/3/2024,4.22%,0.70%,3/7/2025,B+
AMKR,19.22,-15.66%,0.36999,0.49,Information Technology,1.67,10.24%,26.73,6543121900,246631056,1365702020,-15.81%,-9.78%,10/28/2024,2.19%,0.75%,2/3/2025,D
POWI,54.27,-33.03%,0.27594,0.4,Information Technology,1.98,0.19%,63.33,3510821630,56864620,0,-8.09%,-42.09%,11/6/2024,-0.63%,2.58%,2/5/2025,D+
AMD,37.72,13.38%,1.08771,0.92,Information Technology,3.08,32.17%,129.55,2.03451E+11,1622807300,2238000130,-17.97%,853.04%,10/29/2024,2.05%,3.33%,1/28/2025,D+
ENTG,34.14,0.54%,0.78506,0.77,Information Technology,1.69,15.40%,102.51,15190394900,150997968,4198706940,-15.55%,13.68%,11/4/2024,0.31%,1.90%,1/31/2025,D
SLAB,NM,-37.35%,-0.10743,-0.13,Information Technology,2.31,-9.54%,131.81,4142316290,32448036,0,8.79%,NM,11/4/2024,1.05%,3.25%,1/29/2025,F
LSCC,60.05,-15.05%,0.18909,0.24,Information Technology,1.58,7.07%,57.27,7765018600,137971200,21150000,-4.64%,-32.62%,11/4/2024,-3.19%,1.76%,2/13/2025,F
ASML,36.30,15.94%,6.961229143,5.748502994,Information Technology,3.18,19.15%,768.51,2.78651E+11,393027904,5239169000,-16.93%,-9.05%,10/15/2024,0.75%,7.58%,1/29/2025,B-
AKAM,14.76,8.12%,1.52601,1.59,Information Technology,2.72,6.95%,93.39,14055236600,150226992,4650246100,-4.33%,2.15%,11/7/2024,-2.45%,-0.18%,2/11/2025,F
UPST,NM,36.67%,-0.03742,-0.06,Financials,3.46,34.24%,63.52,5845892100,91228024,1041049980,61.21%,NM,11/7/2024,-3.19%,-0.87%,2/11/2025,B-
PLTR,210.57,99.29%,0.11107,0.1,Information Technology,3.49,30.17%,75.92,1.81991E+11,2278021120,254915008,114.88%,190.66%,11/4/2024,1.52%,-4.97%,2/5/2025,B+
ABNB,34.26,16.23%,0.57949,2.13,Consumer Discretionary,2.98,22.12%,135.2,84787757000,624771650,2259000060,-3.00%,-65.41%,11/7/2024,1.87%,-0.38%,2/13/2025,C-
U,26.65,NM,0.1574,0.20071,Information Technology,3.23,41.86%,24.94,9704418300,402840096,2357508100,17.11%,NM,11/7/2024,4.50%,3.53%,1/31/2025,B
MDT,14.85,3.35%,1.35988,1.26,Health Care,3.19,1.33%,79.84,1.03801E+11,1282285700,28326000600,-3.87%,6.04%,11/19/2024,0.31%,-1.37%,2/18/2025,C-
KHC,10.18,3.41%,0.78253,0.75,Consumer Staples,3.63,0.62%,30.05,37012845000,1209174910,20091000800,-10.74%,-53.93%,10/30/2024,0.23%,-1.83%,2/19/2025,C
MGA,7.83,13.18%,1.51715,1.28,Consumer Discretionary,2.95,1.21%,41.85,11850352600,287342208,7585999900,-6.56%,3.69%,10/31/2024,-1.42%,1.43%,2/7/2025,C-
D,19.85,-6.28%,0.61938,0.98,Utilities,3.14,1.03%,53.66,45973725000,840009600,43044999000,1.31%,19.32%,11/1/2024,1.62%,-1.96%,2/21/2025,C
YUM,24.35,10.37%,1.60659,1.37,Consumer Discretionary,2.89,5.75%,130.17,37239349000,279071840,12060999700,-1.37%,1.68%,11/5/2024,-0.23%,-2.45%,2/5/2025,D+
ALB,NM,-66.98%,-0.55463,-1.55,Materials,1.56,13.07%,90.19,10318866400,117540336,3706776060,-14.72%,NM,11/6/2024,-0.18%,2.73%,2/12/2025,C-
MOS,11.43,-40.37%,0.59475,0.34,Materials,2.70,4.15%,25.39,7988779000,317645280,4278200060,-10.24%,-70.63%,11/12/2024,3.69%,0.95%,2/21/2025,C
ETSY,12.03,NM,1.50899,0.94905,Consumer Discretionary,2.82,30.18%,56.61,6063345200,112492488,2388141060,-7.50%,-20.41%,10/30/2024,-1.06%,5.03%,2/19/2025,C
EIX,16.13,7.16%,1.09011,1.51,Utilities,3.69,6.94%,78.44,30894592000,387150272,36599001000,1.26%,6.63%,10/29/2024,0.18%,-1.70%,2/21/2025,C
O,38.78,4.54%,0.37833,0.3089,Real Estate,2.96,28.40%,52.73,46774133000,875211070,26659371000,-6.32%,-20.63%,11/4/2024,0.81%,-1.03%,2/19/2025,D
VRTX,798.30,7.93%,4.05544,4.38,Health Care,4.15,24.03%,402.49,1.04843E+11,257529296,1774099970,-11.00%,NM,11/4/2024,0.73%,-1.13%,2/6/2025,B
PFE,9.09,-23.61%,0.46322,1.06,Health Care,3.47,2.28%,26.89,1.50685E+11,5666990100,67945001000,-4.76%,-59.19%,10/29/2024,0.37%,1.13%,2/4/2025,A
EXPE,15.66,70.56%,2.08892,6.13,Consumer Discretionary,4.04,2.43%,184.99,23883995100,128346472,6553999900,30.09%,39.78%,11/7/2024,-0.12%,-0.59%,2/6/2025,C
BKNG,26.84,38.83%,36.13497,83.89,Consumer Discretionary,3.25,9.06%,4909.79,1.62301E+11,33096712,17025999900,19.38%,2.91%,10/30/2024,-2.19%,0.12%,2/20/2025,C+
UBER,23.01,NM,0.48056,1.4093,Industrials,3.45,26.31%,66.31,1.36008E+11,2105709310,13287999500,-8.60%,307.30%,10/31/2024,4.84%,2.66%,2/4/2025,A-
MAR,29.75,16.60%,2.35573,2.26,Consumer Discretionary,3.01,4.41%,272.62,76498502000,277893440,14462000100,10.28%,1.54%,11/4/2024,-2.11%,-0.97%,2/13/2025,C-
RCL,19.60,NM,1.48186,5.2,Consumer Discretionary,3.43,8.32%,228.41,61556298000,268875232,21556000800,30.75%,179.28%,10/29/2024,-2.13%,-0.23%,2/4/2025,B+
SQ,26.03,66.19%,0.86359,0.88,Financials,4.48,40.67%,91.94,57123693000,619831740,7409195000,26.67%,NM,11/7/2024,3.61%,-0.24%,2/21/2025,C+
EBAY,12.73,8.27%,1.20289,1.19,Consumer Discretionary,3.15,2.05%,62.94,29511190500,479000000,7858999800,6.96%,-21.01%,10/30/2024,-2.34%,2.16%,-,B-
MPW,10.09,-85.70%,-0.05871,-0.0919,Real Estate,1.25,-3.61%,3.99,2491660030,600400000,9215751200,-11.91%,NM,11/7/2024,7.65%,-3.86%,2/5/2025,D
AMT,34.07,20.59%,1.84363,0.89,Real Estate,1.38,7.47%,180.26,85308350000,467289408,44781302000,-10.85%,124.82%,10/29/2024,-0.08%,-1.26%,2/21/2025,D-
HAS,14.59,-0.21%,0.34113,1.73,Consumer Discretionary,3.96,-1.58%,56.89,7923680800,139501424,3994800130,-9.64%,NM,10/24/2024,0.25%,0.16%,2/10/2025,B+
ENPH,33.10,-6.30%,0.75529,0.65,Information Technology,1.48,19.80%,71.38,9747942400,135106624,1332242050,-29.66%,-89.06%,10/22/2024,1.47%,-1.07%,2/6/2025,D+
CDNS,51.33,17.15%,1.82234,1.64,Information Technology,3.24,13.55%,308.14,83337552000,274263008,2825189890,5.20%,8.21%,10/28/2024,0.22%,1.41%,2/10/2025,B
CMG,53.40,26.29%,0.24531,0.27,Consumer Discretionary,3.40,15.38%,58.8,81409245000,1363639040,4483442200,0.84%,28.15%,10/29/2024,-2.08%,-1.51%,2/4/2025,A-
KO,21.64,6.23%,0.51717,0.77,Consumer Staples,3.27,5.19%,60.81,2.66006E+11,4307797000,47118000000,-5.06%,-2.45%,10/23/2024,-0.90%,-1.52%,2/12/2025,B
RTX,20.89,8.30%,1.36109,1.45,Industrials,4.76,8.86%,114.1,1.54225E+11,1331016450,43748000000,3.23%,61.57%,10/22/2024,-0.28%,-1.53%,1/21/2025,B+
SHW,29.74,13.40%,2.07696,3.37,Materials,2.95,5.25%,337.82,84469408000,250993664,12099000300,-2.16%,7.52%,10/22/2024,-1.49%,0.38%,1/30/2025,C
DXCM,47.52,32.53%,0.52092,0.45,Health Care,2.88,23.95%,79.88,31665567700,390595392,2591200000,-15.00%,83.21%,10/24/2024,2.39%,-1.47%,2/6/2025,B-
CME,22.75,9.36%,2.47715,2.68,Financials,4.14,4.00%,225.82,83784212000,360362208,3843200000,8.28%,13.48%,10/23/2024,-1.25%,-2.87%,2/5/2025,B-
SPGI,32.70,14.65%,3.3545,3.89,Financials,3.43,16.19%,494.19,1.5485E+11,309965728,12039999500,5.03%,46.60%,10/24/2024,0.33%,-1.08%,2/6/2025,A-
WM,27.55,13.03%,1.80911,1.96,Industrials,4.13,6.72%,201.76,80935363000,401365536,16652999700,-4.17%,15.95%,10/28/2024,-0.95%,0.05%,1/29/2025,B+
LIN,26.72,11.23%,3.93664,3.94,Materials,3.06,4.15%,412.91,1.96891E+11,476157888,22261999600,-8.30%,8.95%,10/31/2024,-1.62%,-0.14%,2/5/2025,C
NOC,18.01,3.15%,6.33255,7,Industrials,4.72,4.26%,455.14,68159193000,145695344,18098999300,-3.08%,-47.63%,10/24/2024,-0.26%,-2.71%,1/30/2025,A
LYFT,16.32,NM,0.22231,0.2865,Industrials,3.26,10.81%,14.39,5919436300,414816832,1241944060,-1.64%,NM,11/6/2024,5.14%,0.84%,2/7/2025,B+
GOOS,13.90,0.27%,1.07882,0.03591,Consumer Discretionary,2.03,7.54%,10.44,969604160,96804288,661315390,-11.63%,24.08%,11/7/2024,0.01%,4.30%,1/31/2025,C-
SE,53.43,NM,0.70186,0.7494,Communication Services,3.38,55.90%,108.46,61063832000,574340030,4403627000,30.35%,-87.11%,11/12/2024,-2.12%,2.01%,3/4/2025,B
BIDU,8.36,6.10%,1.976697766,2.293514604,Communication Services,2.86,4.85%,83.38,29430261800,350652480,11023141900,-10.33%,-5.84%,11/21/2024,-2.15%,-0.66%,2/25/2025,D+
TJX,28.81,13.96%,1.16103,1.14,Consumer Discretionary,3.35,6.78%,120.88,1.3572E+11,1124158080,12714000400,8.46%,19.82%,11/20/2024,-1.14%,0.12%,2/26/2025,B+
TGT,15.80,15.27%,2.15033,1.85,Consumer Staples,3.07,6.72%,139.29,62220599000,458211936,19850999800,-9.76%,20.09%,11/20/2024,1.24%,2.58%,3/4/2025,F
KKR,32.21,16.14%,1.30681,1.38,Financials,3.42,42.50%,150.74,1.35037E+11,888228930,51320861000,24.71%,3.10%,10/24/2024,1.86%,-0.85%,2/7/2025,B-
A,24.39,4.01%,1.2713,1.46,Health Care,2.78,4.75%,136.43,38752428000,285595296,3574000130,-1.80%,5.73%,11/25/2024,0.69%,0.55%,2/25/2025,D
ON,15.98,-6.98%,0.97617,0.99,Information Technology,3.02,5.60%,64.51,27212714000,425797440,3646000130,-9.58%,-18.67%,10/28/2024,-1.68%,0.94%,2/3/2025,C-
MSFT,32.46,15.93%,3.1393,3.3,Information Technology,3.43,14.38%,427.85,3.14756E+12,7434881000,96838001000,-0.43%,17.35%,10/30/2024,-1.66%,1.06%,1/23/2025,D+
AAPL,32.91,10.67%,2.35471,1.64,Information Technology,3.45,8.49%,245,3.67859E+12,15115823100,1.19059E+11,13.67%,-0.82%,10/31/2024,-3.51%,0.67%,1/30/2025,C-
NVDA,48.92,136.73%,0.84555,0.81,Information Technology,3.49,62.43%,149.43,3.53807E+12,24490000400,10225000400,22.03%,234.04%,11/20/2024,4.93%,3.43%,2/26/2025,B+
PYPL,19.16,5.77%,1.11428,1.2,Financials,4.91,13.05%,89.53,87822402000,1002538820,13258000400,22.48%,25.17%,10/29/2024,0.85%,2.20%,2/4/2025,A
