Symbol,P/E FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
CHWY,35.7,0.3388,0.28,Consumer Discretionary,3.38,19.60%,44.3,18226037000,414982620,535923000,32.82%,911.11%,3/26/2025,4.07%,0.87%,6/11/2025,A-
CI,10.64,7.13209,6.74,Health Care,3.4,10.63%,315.48,84414390000,267142600,30448000000,-1.57%,46.10%,5/2/2025,0.52%,-0.16%,7/31/2025,B+
CL,25.22,0.8983,0.91,Consumer Staples,2.94,4.63%,92.44,75036795000,810420100,8269000000,-2.21%,12.03%,4/25/2025,2.38%,-0.16%,8/1/2025,C
CLX,18.52,2.19601,1.45,Consumer Staples,2.13,1.98%,130.22,16131327000,123252810,2944000000,-15.20%,188.97%,5/5/2025,-2.55%,-0.50%,8/1/2025,C
CME,25.4,2.96915,2.8,Financials,3.46,3.83%,284.56,1.02E+11,360359230,3796500000,18.67%,13.21%,4/23/2025,2.96%,0.17%,7/23/2025,A+
CMG,41.68,0.32587,0.29,Consumer Discretionary,2.9,15.09%,51.15,68217040000,1347364000,4633079000,-8.97%,20.22%,4/23/2025,-1.49%,1.03%,7/25/2025,D
CMI,15.03,5.24376,5.96,Industrials,2.92,8.45%,326.26,43699986000,137754900,8115000000,-4.79%,47.91%,5/5/2025,-3.72%,2.85%,8/1/2025,C
CNI,18.71,1.368868128,1.404620186,Industrials,3.57,2.89%,105.39,66288493000,627500000,14774196000,-1.34%,-15.45%,5/1/2025,-1.41%,0.39%,7/22/2025,C-
COF,12.02,3.68997,4.06,Financials,3.29,8.54%,191.61,70911100000,383137570,45076000000,6.92%,-6.82%,4/22/2025,-4.94%,3.53%,7/24/2025,D+
COIN,42.75,1.29727,0.24,Financials,3.13,63.17%,265.48,67028156000,254704960,4594748000,15.93%,5.11%,5/8/2025,2.88%,0.88%,8/7/2025,C-
COST,55.77,4.2434,4.02,Consumer Staples,3.28,10.77%,1017.44,4.47E+11,443683360,8039000000,6.71%,12.10%,3/6/2025,-0.80%,0.89%,5/29/2025,B-
CPAY,15.46,5.10682,4.51,Financials,2.96,8.52%,332.97,22861732000,70493450,8243303000,-4.50%,6.08%,5/6/2025,-5.21%,2.67%,8/6/2025,C+
CRH,16.46,2.06271,-0.1193,Materials,3.02,5.17%,95.31,63500698000,674893200,17329000000,-0.15%,2.80%,5/5/2025,-3.08%,1.30%,8/22/2025,C-
CRM,24.46,2.54671,2.78,Information Technology,3.19,17.25%,277.71,2.62E+11,959473600,12070000000,-7.50%,51.43%,2/26/2025,-4.67%,1.68%,5/28/2025,C
CRWD,131.91,0.65993,1.03,Information Technology,3.15,52.37%,472.11,1.13E+11,249074060,788901000,30.98%,NM,3/4/2025,3.60%,3.63%,6/3/2025,D
CSCO,16.66,0.9766,0.96,Information Technology,3.47,1.92%,63.835,2.50E+11,3959998200,30745000000,10.00%,-17.33%,5/14/2025,0.23%,1.15%,-,A-
CSX,18.63,0.41993,0.34,Industrials,2.94,3.93%,31.44,57896784000,1878545900,19725000000,-4.91%,-6.53%,4/16/2025,-0.22%,2.01%,7/15/2025,C-
CTRA,8.73,0.53372,0.8,Energy,3.84,27.49%,24.915,18715152000,763260740,4522000000,-4.17%,-0.01%,5/5/2025,-0.39%,1.61%,8/4/2025,B-
CTVA,22.98,1.86138,1.13,Materials,3.36,3.16%,70.25,47110660000,682170000,4083000000,15.19%,68.03%,5/7/2025,0.82%,1.72%,8/6/2025,A-
CVS,9.92,1.45419,2.25,Health Care,3.48,7.62%,61.52,76951134000,1265019400,81213000000,2.43%,-26.59%,5/1/2025,-1.57%,1.13%,8/6/2025,A
CVX,17.44,1.8058,2.18,Energy,3.29,8.87%,137.77,2.38E+11,1746393900,29681000000,-8.96%,-19.49%,5/2/2025,-1.99%,0.90%,8/1/2025,D
D,16.61,0.76762,0.93,Utilities,3.98,0.58%,56.86,48003580000,852790600,44607000000,0.83%,27.61%,5/1/2025,1.21%,1.01%,7/31/2025,C+
DAL,8.85,1.99994,0.46,Industrials,2.99,6.54%,49.53,31289512000,652953100,23380000000,-10.02%,-27.65%,4/9/2025,-4.50%,3.36%,7/9/2025,C-
DAR,20.05,0.37794,-0.1229,Consumer Staples,2.72,10.91%,32.37,4988330000,158158850,4143743000,-12.02%,-67.87%,4/24/2025,-7.87%,2.63%,7/24/2025,D-
DASH,43.62,1.04832,1.07315,Consumer Discretionary,3.28,59.97%,203.09,87354850000,423744130,527000000,21.66%,NM,5/6/2025,2.82%,-1.48%,8/5/2025,B
DBX,10.9,0.63043,0.7,Information Technology,3.16,7.99%,28.34,8047874600,281492640,3009700000,4.23%,1.18%,5/8/2025,-1.50%,-0.87%,8/7/2025,B-
DD,15.87,1.05136,1.03,Materials,2.73,-8.73%,69.02,28311437000,418498720,7705000000,-13.01%,-96.55%,5/2/2025,-1.82%,2.03%,8/1/2025,C-
DDOG,67.38,0.4075,0.46,Information Technology,3.16,46.23%,117.64,39529130000,345353200,1877296000,-6.83%,45.28%,5/6/2025,-1.43%,2.78%,8/5/2025,B
DE,27.19,4.65664,6.64,Industrials,3.15,4.28%,510.31,1.38E+11,271413920,66321000000,16.39%,-37.90%,5/15/2025,-0.69%,0.05%,8/14/2025,C
DELL,12.22,1.69184,2.68,Information Technology,3.72,2.42%,114.29,76624670000,683477570,25368000000,1.30%,38.70%,2/27/2025,0.83%,1.94%,5/29/2025,C
DG,18.11,1.47612,0.87,Consumer Staples,3.15,7.91%,100.94,22300434000,219947070,17463384000,20.05%,-32.32%,3/13/2025,6.30%,-0.44%,6/3/2025,C+
DHI,10.34,2.91739,2.58,Consumer Discretionary,2.73,13.85%,121.12,36447060000,307181280,6612000000,-22.11%,-9.88%,4/17/2025,-3.41%,2.08%,7/22/2025,F
DHR,23.97,1.63976,1.88,Health Care,3.26,5.72%,189.6,1.32E+11,715669570,17577000000,-20.48%,-5.43%,4/22/2025,-4.15%,2.74%,7/22/2025,B+
DIS,18.96,1.4361,1.45,Communication Services,4.94,3.74%,112.51,1.97E+11,1797746300,42889000000,8.41%,429.23%,5/7/2025,-1.75%,2.54%,8/6/2025,A+
DLTR,16.93,1.19852,2.29,Consumer Staples,3.05,-5.73%,89.68,18528731000,210147800,7830600000,18.60%,-16.15%,3/26/2025,0.40%,1.71%,6/4/2025,C
DOCU,24.21,0.81431,0.86,Information Technology,2.93,25.04%,85.93,17133742000,202502560,124427000,8.32%,1326.61%,3/13/2025,-4.83%,1.56%,-,D+
DOW,66.79,0.0006,0.02,Materials,2.73,0.42%,28.95,20018323000,706861760,17921000000,-32.64%,-76.26%,4/24/2025,-4.85%,2.22%,7/24/2025,D
DPZ,27.07,3.95672,4.33,Consumer Discretionary,3.28,5.30%,484.88,16450633000,34241476,5206500000,7.71%,13.87%,4/28/2025,-1.24%,0.93%,7/18/2025,A
DUK,18.44,1.23026,1.76,Utilities,3.26,4.53%,116.78,90542680000,777257100,87481000000,1.40%,7.26%,5/6/2025,0.74%,0.25%,8/5/2025,C+
DXCM,41.77,0.44523,0.32,Health Care,2.98,20.98%,85.47,33137005000,392107500,2583200000,11.61%,-13.32%,5/1/2025,-1.20%,1.14%,7/24/2025,B-
EA,17.86,0.131,1.2415,Communication Services,2.93,6.15%,147.035,36835013000,250765970,2218000000,1.13%,-9.19%,5/6/2025,-1.62%,0.10%,-,C-
EBAY,13.48,1.29491,1.38,Consumer Discretionary,3.41,5.09%,72.44,33143871000,460843600,7178000000,11.39%,-17.08%,4/30/2025,1.21%,0.72%,7/30/2025,A
ECL,34.83,1.89416,1.5,Materials,3.11,4.38%,264.46,74025150000,283512600,8357900000,4.82%,36.20%,4/29/2025,1.34%,1.29%,7/29/2025,C+
EGO,12.75,0.36806,0.28,Materials,4.84,13.85%,19.81,4131948500,205125040,947992000,19.32%,169.38%,5/1/2025,6.76%,0.00%,7/31/2025,A-
EIX,9.34,1.47421,1.3679,Utilities,3.37,7.08%,57.31,21793014000,384763650,39560000000,-20.10%,209.72%,4/29/2025,-0.89%,1.18%,7/25/2025,A-
EL,43.28,0.08402,0.65,Consumer Staples,2.97,-0.88%,66.82,22912604000,359751970,9382000000,-15.65%,NM,5/1/2025,-1.56%,4.91%,8/20/2025,B+
ENB,21.67,0.4278189,0.739342344,Energy,3.27,4.36%,46.28,1.01E+11,2180284400,71738040000,8.13%,1.87%,5/9/2025,2.10%,0.48%,7/28/2025,C+
ENPH,16.2,0.63152,0.68,Information Technology,1.31,14.29%,40.02,5201046000,131207016,1234605000,-47.50%,-44.88%,4/22/2025,-14.70%,0.96%,7/22/2025,D
ENTG,24.35,0.61772,0.67,Information Technology,1.2,15.00%,74.9,10952276000,151400000,4055200000,-27.26%,-1.83%,5/7/2025,-6.52%,3.54%,8/6/2025,D
EPD,11.16,0.6803,0.65822,Energy,4.02,12.38%,31.485,67864965000,2168902700,32045000000,0.10%,4.38%,4/29/2025,-1.93%,0.62%,7/29/2025,C+
EQIX,61.51,3.46707,3.6471,Real Estate,3.4,9.64%,881.19,84462790000,97818990,19650000000,-2.12%,-3.78%,4/30/2025,-0.57%,2.05%,7/30/2025,A+
ET,13.44,0.31377,0.3652,Energy,4.53,9.25%,17.99,61257240000,3431778000,60607000000,0.20%,20.71%,5/6/2025,-0.36%,0.78%,8/6/2025,A-
ETN,26.71,2.91858,2.72,Industrials,3.05,3.93%,328.33,1.26E+11,391300000,10758000000,0.65%,17.05%,5/2/2025,-1.51%,2.26%,7/28/2025,C
ETSY,9.98,1.06552,1.2134,Consumer Discretionary,2.87,26.25%,50.29,4963835400,104282260,2387271000,-7.42%,-29.38%,4/30/2025,0.94%,5.65%,7/30/2025,C
EWBC,10.23,2.23289,2.09,Financials,3.24,10.50%,92.28,12449750000,137825180,4256505000,-1.26%,5.55%,4/22/2025,-3.82%,2.16%,-,B
