Symbol,P/E FWD,EPS Estimate,EPS Actual,Sector,Quant Rating,Revenue 5Y,Price,Market Cap,Shares Outstanding,Total Debt,Last Price Vs. 200D SMA,EPS YoY,Last Quarter Announce Date,Last Price Vs. 10D SMA,Change %,Upcoming Announce Date,EPS Revision Grade
LUV,25.44,0.51353,-0.13,Industrials,3.17,5.10%,32.68,17637347000,569865800,7995000000,1.53%,37.74%,4/23/2025,-2.51%,5.59%,7/24/2025,D-
LVS,16.64,0.53205,0.59,Consumer Discretionary,2.76,-0.54%,41.76,28122933000,706606400,13851000000,-10.93%,-13.58%,4/23/2025,-4.13%,4.92%,7/23/2025,C
LYFT,14.24,0.27856,0.1089,Industrials,4.51,9.44%,16.405,6772238000,420635870,1229028000,20.76%,NM,5/8/2025,-2.69%,1.89%,8/4/2025,B
M,6.01,0.15014,1.8,Consumer Discretionary,2.82,-1.91%,12.02,3223104800,278574340,6073000000,-20.75%,1193.75%,3/6/2025,-3.84%,3.89%,5/28/2025,F
MA,35.38,4.02211,3.73,Financials,3.36,11.32%,573.81,5.12E+11,908047600,18802000000,7.75%,13.32%,5/1/2025,-2.23%,1.82%,7/31/2025,B-
MAR,25.56,2.61334,2.32,Consumer Discretionary,2.91,5.97%,264.94,70583030000,273896130,15851000000,-0.59%,-9.36%,5/6/2025,-3.95%,2.81%,8/7/2025,C+
MCD,25.55,3.14805,2.67,Consumer Discretionary,3.29,4.07%,315.08,2.25E+11,715032700,52795000000,5.07%,-3.76%,5/1/2025,-0.06%,0.16%,-,B+
MCHP,40.71,0.22451,0.11,Information Technology,2.98,-3.55%,58.655,30308856000,539399400,5781200000,-10.38%,NM,5/8/2025,-6.47%,4.39%,8/7/2025,B-
MCO,34.44,3.28654,3.83,Financials,2.86,7.74%,480.585,84507790000,179937810,7268000000,-0.85%,26.27%,4/22/2025,-2.57%,2.33%,-,D+
MCY,24.4,1.3,-2.29,Financials,4.65,8.84%,61.52,3310578200,55388628,592086000,-2.12%,32.82%,5/6/2025,-2.28%,2.93%,7/29/2025,A+
MDB,69.58,0.65676,1.28,Information Technology,1.29,36.61%,189.05,15088727000,81187660,74011000,-24.70%,NM,3/5/2025,-2.21%,1.72%,-,D+
MDLZ,21.91,0.67999,0.74,Consumer Staples,3.37,6.97%,66.69,85639090000,1294815400,20155000000,0.07%,-13.92%,4/29/2025,1.37%,0.83%,7/22/2025,A-
MDT,14.54,1.22744,1.62,Health Care,3.11,3.01%,81.295,1.03E+11,1281934600,28516000000,-7.47%,30.80%,5/21/2025,-4.75%,0.76%,8/19/2025,D
MELI,50.72,11.87516,9.74,Consumer Discretionary,3.41,55.33%,2552.75,1.27E+11,50697376,7757000000,23.71%,82.40%,5/7/2025,-2.15%,1.79%,7/31/2025,A
META,24.55,5.78676,6.43,Communication Services,3.45,18.35%,640.35,1.58E+12,2514327300,49519000000,6.12%,47.45%,4/30/2025,-2.26%,2.12%,7/23/2025,B
MFC,10.69,0.703282213,0.715814438,Financials,4.27,-16.59%,31.85,53888470000,1712710800,16359479000,4.33%,14.95%,5/7/2025,-1.16%,2.05%,8/6/2025,C-
MGA,7.62,1.12452,0.78,Consumer Discretionary,3.74,2.26%,36.45,10117652000,281735500,7558000000,-10.26%,13.73%,5/2/2025,-2.38%,2.82%,8/1/2025,C-
MMM,19.28,2.00624,1.88,Industrials,3.03,-5.40%,149.31,79446335000,538181400,14134000000,7.28%,NM,4/22/2025,-1.97%,1.14%,7/25/2025,C-
MNST,34.26,0.47676,0.47,Consumer Staples,3.28,11.53%,64.16,61791597000,975246140,260637000,18.99%,-4.03%,5/8/2025,1.70%,1.26%,8/7/2025,B+
MO,11.1,1.38939,1.23,Consumer Staples,3.41,-0.20%,59.68,1.01E+11,1684451800,26059000000,9.89%,25.37%,4/29/2025,2.20%,-0.10%,7/30/2025,A-
MOS,12.34,0.75388,0.49,Materials,4.78,4.67%,35.99,11134801000,317230800,4823400000,29.79%,-51.11%,5/6/2025,1.07%,2.54%,8/1/2025,A-
MPLX,11.08,1.11742,1.1,Energy,4.05,5.35%,51.06,51662800000,1020802200,22915000000,4.69%,11.58%,5/6/2025,-0.47%,0.89%,8/5/2025,B+
MPW,-,0.00683,-,Real Estate,2.5,0.21%,4.675,2751664000,600800000,9465400000,-6.82%,NM,5/1/2025,-6.28%,2.07%,8/7/2025,D+
MPWR,39.07,4.11242,4.04,Information Technology,3.18,29.62%,684.19,31705178000,47880000,17751000,-5.81%,348.37%,5/1/2025,-5.71%,3.32%,7/31/2025,B+
MRK,8.71,2.05469,2.22,Health Care,3.2,6.66%,77.84,1.95E+11,2511031300,34844000000,-20.95%,667.14%,4/24/2025,0.89%,0.34%,7/29/2025,D+
MRVL,21.75,0.6132,0.6,Information Technology,3.01,16.40%,64.85,52425880000,863830600,4343100000,-26.95%,NM,3/5/2025,-3.89%,6.85%,5/29/2025,B
MS,14.52,2.06378,2.5996,Financials,3.17,9.57%,129.25,2.02E+11,1604319100,4.49E+11,5.70%,55.47%,4/11/2025,-2.25%,2.52%,7/16/2025,C+
MSCI,33.28,4.09377,4,Financials,2.82,12.76%,566.57,43225133000,77371496,4691349000,-3.24%,-0.72%,4/22/2025,-1.53%,1.41%,7/22/2025,C-
MSFT,33.63,3.37256,3.46,Information Technology,3.48,14.25%,459.4,3.35E+12,7432543700,1.05E+11,8.24%,12.13%,4/30/2025,-0.70%,2.05%,7/31/2025,B+
MTCH,8.74,0.765,0.6822,Communication Services,3.85,10.12%,30.1,7163031600,245225330,3511337000,-12.07%,-11.62%,5/8/2025,-0.03%,3.05%,7/29/2025,B
MTH,7.73,2.00208,1.69,Consumer Discretionary,2.64,10.24%,65.79,4612939300,71830264,1892873000,-22.52%,-7.79%,4/23/2025,-4.56%,2.44%,7/23/2025,D-
MU,13.36,1.58573,1.56,Information Technology,4.27,9.83%,96.27,1.04E+11,1117571600,15023000000,-1.67%,NM,3/20/2025,-2.62%,3.11%,6/25/2025,C
NCLH,8.49,0.50912,0.07,Consumer Discretionary,3.56,8.35%,17.995,7738692600,446806720,14803528000,-21.36%,120.77%,4/30/2025,-6.56%,3.90%,7/30/2025,B+
NEE,18.48,0.97009,0.99,Utilities,3.2,5.06%,68.13,1.39E+11,2058631200,89678000000,-8.96%,-27.11%,4/23/2025,-5.63%,0.55%,7/23/2025,C+
NEM,12.45,0.9048,1.25,Materials,4.84,13.34%,52.79,59657445000,1111974800,7986000000,13.05%,NM,4/23/2025,4.86%,-1.14%,7/24/2025,A-
NET,198.04,0.18152,0.16,Information Technology,3.27,41.10%,161.22,54778307000,346610370,1475894000,43.69%,NM,5/8/2025,2.30%,2.01%,8/7/2025,C
NFLX,46.23,7.0703,6.61,Communication Services,3.48,13.42%,1207.51,5.04E+11,425571260,17423487000,34.64%,46.84%,4/17/2025,1.14%,1.87%,7/18/2025,A-
NGD,10.78,0.07508,0.02,Materials,4.96,9.25%,4.29,3450904300,791369000,509300000,44.25%,NM,4/29/2025,7.90%,-0.23%,7/25/2025,A-
NIO,-,-0.330022348,-0.4372836,Consumer Discretionary,2.9,53.06%,3.655,8566417400,2242517800,4633964000,-16.38%,NM,3/21/2025,-4.93%,-4.32%,6/3/2025,C+
NKE,28.24,0.10716,0.54,Consumer Discretionary,3.19,2.99%,62.455,88588950000,1475990500,11915000000,-18.76%,-11.21%,3/20/2025,-2.91%,4.06%,-,A-
NOC,18.71,6.59014,3.32,Industrials,2.99,3.33%,473.57,67856384000,143928200,18126000000,-4.85%,77.72%,4/22/2025,0.01%,0.45%,7/24/2025,F
NOW,60.59,3.56613,4.04,Information Technology,3.33,25.27%,1027.22,2.08E+11,206982900,2399000000,6.09%,-21.11%,4/23/2025,-1.89%,2.28%,7/23/2025,B
NRG,20.89,1.3871,2.62,Utilities,3.48,24.80%,156.75,30855457000,195510430,10989000000,61.26%,-12.03%,5/12/2025,0.85%,-0.68%,8/6/2025,A
NUE,14.03,2.19021,0.77,Materials,2.96,6.59%,109.04,25034123000,230750510,7880000000,-19.00%,-66.85%,4/28/2025,-5.62%,0.51%,7/31/2025,B+
NVDA,31.67,0.7291,0.89,Information Technology,3.42,64.24%,135.325,3.20E+12,24387557000,10270000000,4.09%,147.06%,2/26/2025,-0.87%,3.07%,5/28/2025,B-
NVO,17.13,0.893352121,0.98964285,Health Care,2.72,19.08%,70.36,3.12E+11,4439053000,17209076000,-30.44%,17.93%,5/7/2025,0.97%,4.47%,8/6/2025,F
NXPI,16.74,2.66433,2.64,Information Technology,2.77,6.96%,198.98,48542605000,252628700,11725000000,-11.84%,-15.14%,4/28/2025,-7.11%,3.55%,7/21/2025,C-
O,43.47,0.34867,0.2794,Real Estate,3.19,28.35%,56.23,50296950000,903079940,27452195000,-3.68%,3.85%,5/5/2025,-0.05%,1.26%,8/6/2025,F
OKTA,38.63,0.7714,0.78,Information Technology,3.47,34.82%,124.52,21659824000,175071330,979000000,36.32%,NM,3/3/2025,-0.62%,0.65%,5/27/2025,A-
ON,18.15,0.53109,0.55,Information Technology,2,4.26%,43.34,17246128000,417885340,3652800000,-29.27%,-69.95%,5/5/2025,-6.28%,5.02%,8/4/2025,D+
ORCL,26.01,1.64076,1.47,Information Technology,3.21,7.00%,161.9,4.37E+11,2804234000,1.09E+11,-3.21%,12.60%,3/10/2025,-2.07%,3.80%,6/11/2025,F
OXY,16.26,0.42257,0.87,Energy,2.98,3.22%,41.61,40634840000,984132700,25987000000,-15.60%,-28.82%,5/7/2025,-3.12%,0.78%,8/7/2025,C
PAAS,16.49,0.32096,0.42,Materials,4.54,15.49%,24.25,8906819000,362189540,825900000,5.35%,NM,5/7/2025,3.55%,0.46%,8/6/2025,A-
PANW,57.04,0.88472,0.8,Information Technology,3.4,22.15%,187.66,1.25E+11,666800000,806000000,2.41%,-49.65%,5/20/2025,-1.98%,0.49%,8/18/2025,A-
PDD,9.69,2.63810478,2.780077263,Consumer Discretionary,4.27,67.20%,101.85,1.69E+11,1419646500,1453232000,4.58%,84.70%,3/20/2025,0.94%,-14.58%,5/27/2025,C+
PEP,16.28,2.05233,1.48,Consumer Staples,3.03,6.07%,130.91,1.77E+11,1371079600,48518000000,-17.24%,2.41%,4/24/2025,-1.05%,1.21%,7/25/2025,C-
PFE,7.79,0.56234,0.92,Health Care,4.72,10.37%,23.635,1.33E+11,5685366000,62397000000,-11.67%,NM,4/29/2025,1.69%,1.35%,7/29/2025,B
PG,24.46,1.42822,1.54,Consumer Staples,3.27,3.59%,167.33,3.89E+11,2344542000,34141000000,-1.57%,2.93%,4/24/2025,1.75%,0.89%,7/28/2025,C
PH,24.55,7.06218,6.94,Industrials,3.03,6.84%,670.67,83689480000,127778000,9372913000,2.95%,22.13%,5/1/2025,-2.37%,2.40%,-,C+
PHM,8.57,2.96627,2.57,Consumer Discretionary,2.78,11.22%,100.45,19683953000,200427180,2188933000,-16.85%,13.61%,4/22/2025,-3.95%,2.28%,7/22/2025,F
PINS,16.97,0.35121,0.23,Communication Services,2.92,25.40%,31.39,20907740000,676625860,143956000,-1.52%,1137.45%,5/8/2025,-4.22%,1.59%,8/7/2025,C
PLTR,212.08,0.13837,0.13,Information Technology,3.49,30.90%,122.665,2.91E+11,2359912400,244596000,72.29%,92.54%,5/5/2025,-1.55%,-0.52%,8/4/2025,B+
PM,23.85,1.85786,1.69,Consumer Staples,4.94,4.91%,179.33,2.77E+11,1556517100,49633000000,29.72%,-5.03%,4/23/2025,4.35%,0.64%,7/22/2025,A
PNC,11.35,3.57004,3.51,Financials,3.2,6.11%,175.83,67966325000,395567000,63097000000,-6.89%,18.96%,4/15/2025,-2.51%,2.33%,7/16/2025,C-
POWI,32,0.34509,0.31,Information Technology,2.01,-0.38%,51.39,2806635500,56290324,0,-16.18%,-30.53%,5/12/2025,-6.70%,3.07%,8/11/2025,C+
PPC,9.12,1.59,1.31,Consumer Staples,3.93,8.86%,48.23,11761304000,237123060,3451694000,2.17%,145.39%,4/30/2025,2.43%,-2.76%,7/30/2025,B
PPG,14.04,2.22855,1.72,Materials,2.95,1.03%,112.18,24985397000,226974900,7873000000,-7.22%,-2.04%,4/29/2025,-2.32%,1.91%,7/17/2025,C+
PR,9.46,0.28136,0.42,Energy,3.76,40.96%,12.8,10174340000,700818700,4167698000,-8.69%,39.99%,5/7/2025,-4.77%,0.63%,8/4/2025,C+
PYPL,13.77,1.29498,1.33,Financials,4.39,11.79%,71.32,67931420000,972532800,13376000000,-8.55%,11.80%,4/29/2025,-2.84%,2.10%,7/29/2025,B
QCOM,12.35,2.7054,2.85,Information Technology,3.23,11.32%,148.6,1.59E+11,1091697000,14623000000,-9.41%,30.56%,4/30/2025,-3.92%,2.21%,7/30/2025,B-
QRVO,13.5,0.62653,1.42,Information Technology,2.98,2.80%,76.84,6939678000,93025176,1611060000,-8.62%,NM,4/29/2025,-4.29%,3.00%,7/30/2025,B-
RCL,15.67,4.04064,2.71,Consumer Discretionary,3.42,9.71%,254.34,65207075000,271560400,20119000000,12.16%,60.94%,4/29/2025,-2.64%,5.92%,7/28/2025,A
REGN,16.57,8.48037,8.22,Health Care,2.6,14.97%,605.27,62167237000,105665496,2704800000,-26.69%,16.49%,4/29/2025,-0.31%,2.88%,8/1/2025,F
RH,17.98,-0.0698,1.58,Consumer Discretionary,1.7,3.74%,188.84,3462517000,18728456,3937889000,-39.78%,-38.75%,4/2/2025,-10.90%,2.14%,6/12/2025,C
ROK,31.32,2.64493,2.45,Industrials,3.32,3.34%,311.58,34439390000,112716470,4093000000,11.90%,-22.34%,5/7/2025,-0.24%,1.98%,8/6/2025,A-
ROP,28.43,4.83226,4.78,Information Technology,3.12,5.93%,573.71,60964454000,107515400,7456400000,2.15%,1.85%,4/28/2025,-1.28%,1.18%,7/24/2025,B-
ROST,22,1.5515,1.47,Consumer Discretionary,2.86,8.58%,142.745,45135780000,328834200,5015669000,-4.88%,6.73%,5/22/2025,-8.78%,4.00%,8/21/2025,D-
RTX,22.23,1.43272,1.47,Industrials,4.14,12.30%,133.8,1.77E+11,1335953800,42946000000,7.01%,37.34%,4/22/2025,-1.14%,1.10%,7/22/2025,C-
SAP,41.65,1.6559,1.65308,Information Technology,3.46,4.66%,301.33,3.48E+11,1166589400,10934761000,16.91%,122.34%,4/22/2025,-0.17%,2.19%,7/22/2025,A+
SBUX,34.26,0.65741,0.41,Consumer Discretionary,2.85,6.39%,86.72,95912160000,1136400000,26031900000,-11.80%,-24.33%,4/29/2025,-1.11%,2.75%,7/29/2025,C-
SCCO,20.46,1.04639,1.17833,Materials,3.73,10.52%,93.36,74247670000,804068350,7967700000,-4.80%,54.89%,4/24/2025,0.49%,1.10%,7/25/2025,B+
SCHW,20.24,1.07111,1.04,Financials,3.42,14.03%,88.69,1.59E+11,1816970400,54560000000,16.60%,38.63%,4/17/2025,-0.26%,1.48%,7/16/2025,B+
SE,41.27,0.94158,0.8334,Communication Services,3.47,47.84%,165.36,97126790000,592019900,4148141000,46.76%,2223.84%,5/13/2025,2.60%,0.79%,8/12/2025,B+
SHEL,10.67,1.51524,1.84,Energy,3.37,-2.63%,66.69,1.95E+11,5949535000,76511000000,-0.87%,-19.61%,5/2/2025,-0.60%,0.59%,7/31/2025,D-
SHOP,72.7,0.28566,0.25,Information Technology,3.07,40.26%,106.18,1.32E+11,1297380900,1138000000,6.03%,NM,5/8/2025,-4.87%,4.60%,8/7/2025,D+
SHW,29.65,3.8112,2.25,Materials,2.98,5.05%,359.27,88156430000,250082060,13628000000,-1.96%,12.81%,4/29/2025,-1.26%,1.92%,7/22/2025,C
SKYW,10.57,2.4375,2.42,Industrials,4.32,4.28%,101.61,3962552000,40467240,2643308000,2.70%,219.12%,4/24/2025,-3.04%,3.77%,7/24/2025,A-
SLAB,190.77,0.0927,-0.08,Information Technology,2.78,-3.10%,125.09,3955199700,32571850,0,2.53%,NM,5/13/2025,-5.31%,3.01%,7/23/2025,C
SLB,10.57,0.76099,0.72,Energy,2.9,2.11%,33.91,45783040000,1360161700,14138000000,-16.83%,-1.47%,4/25/2025,-3.94%,0.74%,7/25/2025,D
SMG,16.99,2.23018,3.98,Materials,2.99,0.22%,60.94,3429426700,57715024,2832300000,-13.74%,NM,4/30/2025,-1.81%,2.56%,7/30/2025,B+
SNAP,28.74,0.01631,0.0804,Communication Services,2.79,24.38%,8.35,13753796000,1671178100,4210853000,-18.56%,NM,4/29/2025,-5.21%,1.46%,7/29/2025,C-
SNOW,183.05,0.26314,0.24,Information Technology,3.36,63.38%,205.18,66748280000,333658000,2687763000,34.47%,NM,5/21/2025,7.77%,2.56%,8/20/2025,B
SNPS,33.46,3.39714,3.03,Information Technology,3.06,12.46%,511.91,77132230000,154620080,665037000,0.44%,-7.43%,2/26/2025,-2.25%,2.62%,5/28/2025,B-
SO,20.97,1.01055,1.23,Utilities,4.1,5.79%,90.09,98519290000,1099055100,70120000000,2.00%,8.04%,5/1/2025,1.54%,0.50%,7/31/2025,C-
SPG,23.65,1.54352,1.454,Real Estate,2.66,1.20%,160.46,59124126000,326425020,25273774000,-7.45%,-19.88%,5/12/2025,-3.34%,2.35%,8/11/2025,C+
SPGI,30.09,4.15767,4.37,Financials,3.01,15.96%,517.02,1.56E+11,306683300,12025000000,0.95%,42.93%,4/29/2025,-1.28%,1.37%,7/31/2025,D+
STT,10.17,2.37671,2.04,Financials,2.86,2.01%,97.3,27405953000,285181600,64742000000,4.82%,64.15%,4/17/2025,-1.13%,1.25%,-,D+
STX,14.38,2.39115,1.9,Information Technology,4.72,-3.80%,117.23,23925398000,212217460,5146000000,16.79%,NM,4/29/2025,5.38%,3.98%,7/24/2025,B
SU,11.75,0.552468735,0.951308958,Energy,3.2,6.62%,35.75,44040050000,1227580500,10278970000,-5.55%,-20.16%,5/6/2025,0.00%,0.11%,8/5/2025,B
SVM,9.05,0.14,0.07,Materials,3.08,8.78%,3.96,845202560,217416500,108667000,-0.66%,104.66%,5/22/2025,0.68%,6.74%,8/7/2025,B-
SWKS,13.65,1.24199,1.24,Information Technology,3.27,3.95%,71.44,10417461000,150129150,1209600000,-16.84%,-51.79%,5/7/2025,-3.73%,4.00%,8/1/2025,B+
SXT,28.04,0.88,0.86,Materials,3.42,3.37%,94.99,3988603100,42459052,701841000,22.05%,41.11%,4/25/2025,0.00%,1.12%,-,A+
T,13.26,0.5298,0.51,Communication Services,3.47,-7.25%,27.51,1.97E+11,7195602400,1.45E+11,15.01%,-12.62%,4/23/2025,0.49%,0.33%,7/23/2025,C+
TEAM,58.2,0.85458,0.97,Information Technology,3.23,26.73%,210.27,54291456000,262505840,1230600000,-7.05%,NM,5/1/2025,-4.83%,1.67%,8/1/2025,B+
TER,22.67,0.53771,0.75,Information Technology,1.27,3.01%,81.39,12349153000,160420290,68763000,-30.38%,33.94%,4/28/2025,-5.58%,5.73%,7/23/2025,D+
TGB,19.41,0,-0.014447109,Materials,2.82,13.34%,2.21,699063100,315875360,551405250,0.07%,NM,5/1/2025,4.42%,2.79%,8/1/2025,D-
TGT,12.76,2.01443,1.3,Consumer Staples,2.97,5.74%,96.76,42842060000,454364800,19395000000,-27.49%,2.04%,5/21/2025,-2.75%,2.62%,8/19/2025,C-
TJX,27.97,1.00441,0.92,Consumer Discretionary,3.12,9.11%,128.05,1.40E+11,1116491800,13062000000,3.90%,5.45%,5/21/2025,-4.50%,1.87%,8/20/2025,C
TMO,17.54,5.26189,5.15,Health Care,2.74,10.84%,404.41,1.49E+11,377493920,34259000000,-26.47%,9.37%,4/23/2025,-4.09%,2.73%,-,D
TMUS,22.68,2.6942,2.5933,Communication Services,3.41,12.93%,244.4,2.76E+11,1135445100,1.22E+11,4.69%,39.35%,4/24/2025,0.96%,0.63%,7/24/2025,B+
TOL,7.47,3.64905,3.5,Consumer Discretionary,2.87,8.70%,107.79,10251364000,98325000,2800254000,-19.52%,-7.88%,5/20/2025,-1.60%,3.39%,8/19/2025,B+
TRGP,19.37,1.84773,1.8882,Energy,2.92,14.23%,161.63,34808885000,216931860,16208700000,-9.17%,11.70%,5/1/2025,-2.33%,0.73%,7/31/2025,B-
TRIP,9.46,0.43346,0.14,Communication Services,3.01,4.68%,14.24,1616681000,118092104,1259000000,-5.93%,115.16%,5/7/2025,-7.37%,4.02%,8/4/2025,C+
TRV,14.4,3.38583,1.91,Financials,3.4,8.12%,275.15,61409202000,226568780,8033000000,9.56%,36.62%,4/16/2025,0.32%,1.52%,7/18/2025,B
TS,9.45,0.87595,0.94,Energy,3.07,10.81%,32.64,17762849000,1071994940,497829000,-6.22%,-45.67%,4/30/2025,-3.67%,0.21%,7/30/2025,B+
TSLA,177.84,0.46144,0.27,Consumer Discretionary,3.34,29.76%,359.15,1.09E+12,3220956200,13128000000,13.41%,-56.07%,4/22/2025,-0.01%,5.84%,7/16/2025,D+
TSM,20.77,2.23268,2.12,Information Technology,4.67,22.01%,197.63,8.45E+11,25932616000,32487705000,3.88%,52.76%,2/12/2025,-0.58%,2.94%,-,C+
TSN,14.39,0.88718,0.92,Consumer Staples,3.02,4.28%,55.66,19788820000,356234370,9068000000,-7.38%,NM,5/5/2025,-0.37%,0.20%,8/4/2025,D+
TTD,41.88,0.41442,0.33,Communication Services,2.72,29.68%,75.92,36312404000,491438660,334968000,-24.23%,104.63%,5/8/2025,-3.61%,2.75%,8/8/2025,C
TTWO,83.2,0.26446,1.2961,Communication Services,3.16,12.77%,226.51,41147840000,182887410,4105900000,20.84%,NM,5/15/2025,-1.79%,0.68%,-,D-
TWLO,24.83,1.05307,1.14,Information Technology,3.38,29.34%,116.44,17326998000,152674200,1100940000,19.35%,NM,5/1/2025,-1.16%,2.60%,8/4/2025,B+
TXN,31.76,1.36955,1.28,Information Technology,3.28,2.60%,182.85,1.60E+11,908472060,12848000000,-7.25%,-17.77%,4/23/2025,-5.12%,3.72%,7/21/2025,B
U,26.28,0.14852,0.24,Information Technology,3.21,25.15%,21.72,8625664000,415694620,2338765000,-2.19%,NM,5/7/2025,-4.49%,4.67%,8/6/2025,B+
UAL,7.22,3.91645,0.91,Industrials,3.2,6.75%,78.25,24380733000,326600580,32925000000,-3.85%,35.24%,4/15/2025,-3.50%,4.82%,7/17/2025,D
UBER,24.34,0.62209,1.0577,Industrials,4.92,28.11%,88.88,1.84E+11,2091168100,11124000000,19.65%,809.23%,5/7/2025,-2.60%,1.29%,8/5/2025,A-
ULTA,17.73,5.82789,8.46,Consumer Discretionary,3.87,8.83%,420,18376990000,45147876,1923234000,6.59%,-2.65%,3/13/2025,-0.90%,3.18%,5/29/2025,C
UNH,12.94,5.06895,7.2,Health Care,3.08,10.74%,292.35,2.68E+11,907140400,81271000000,-44.00%,44.68%,4/17/2025,-4.57%,-1.09%,-,D-
UNP,19.32,2.84327,2.7,Industrials,3.03,2.38%,224.62,1.33E+11,597475600,33904000000,-6.22%,6.03%,4/24/2025,-2.42%,1.13%,7/24/2025,C-
UPS,13.55,1.59062,1.49,Industrials,3.06,3.93%,97.44,80759100000,846797800,25594000000,-21.19%,-0.81%,4/29/2025,-3.39%,2.17%,-,D
UPST,30.49,0.25393,0.3,Financials,3.01,28.84%,47.24,4306256400,95144856,1457841000,-16.84%,NM,5/6/2025,-6.17%,4.37%,8/5/2025,B+
USB,9.92,1.07269,1.03,Financials,3.24,4.11%,43.715,66901705000,1558027500,80945000000,-6.25%,34.12%,4/16/2025,-2.47%,1.80%,7/17/2025,C
V,31.16,2.83679,2.76,Financials,3.44,9.51%,359.07,6.62E+11,1872162000,20762000000,12.26%,11.36%,4/29/2025,-1.81%,1.56%,7/22/2025,B
VEON,8.16,-,1.3809,Communication Services,4.81,-14.21%,54.14,3690743000,70099580,4703000000,38.49%,19.40%,5/15/2025,-1.28%,2.83%,8/7/2025,B+
VIRT,9.58,1.2136,1.3,Financials,4.53,5.34%,41.25,6293000000,86142860,6542295000,14.92%,142.03%,4/23/2025,-2.30%,1.23%,7/18/2025,B+
VIST,10.8,0.946526444,0.79055488,Energy,2.86,34.93%,48.93,5289898000,105448220,1779357000,-0.03%,33.68%,4/23/2025,-1.34%,-1.71%,7/11/2025,C-
VMC,31.48,2.64132,1,Materials,3.12,8.55%,270.75,35428844000,132103520,5533300000,4.47%,2.69%,4/30/2025,-1.17%,0.95%,8/4/2025,B+
VRTX,24.23,4.28852,4.06,Health Care,3.18,18.16%,445.14,1.12E+11,256797180,1649100000,-6.76%,NM,5/5/2025,0.03%,2.10%,8/4/2025,C
VZ,9.24,1.19497,1.19,Communication Services,3.45,0.59%,43.505,1.83E+11,4216255000,1.73E+11,2.40%,57.26%,4/22/2025,-0.23%,0.43%,7/21/2025,B
WBA,6.68,0.34149,0.63,Consumer Staples,3.36,3.20%,11.195,9659123000,864737900,31107000000,10.28%,NM,4/8/2025,-0.66%,0.22%,6/25/2025,B+
WBS,8.94,1.43679,1.3,Financials,2.91,16.01%,52.32,8620059000,168229090,4145502000,-1.56%,-9.35%,4/24/2025,-2.10%,2.11%,7/21/2025,C-
WES,11.23,0.816,0.82,Energy,3.1,4.99%,39.05,14848888000,381327360,7334981000,-0.38%,-5.80%,5/7/2025,-0.45%,0.28%,8/6/2025,C+
WFC,12.89,1.39368,1.2762,Financials,4.22,0.36%,73.96,2.37E+11,3254182400,3.29E+11,6.94%,16.01%,4/11/2025,-2.88%,1.55%,7/15/2025,C
WM,31.03,1.89204,1.67,Industrials,3.17,8.16%,237.97,95276340000,402332400,23837000000,8.52%,8.68%,4/28/2025,3.03%,0.49%,7/25/2025,C+
WMT,36.83,0.7236,0.61,Consumer Staples,3.39,5.08%,97.45,7.71E+11,8000887000,67205000000,9.15%,0.43%,5/15/2025,-0.54%,1.15%,8/21/2025,C+
WY,38.75,0.19016,0.11,Real Estate,1.65,1.33%,25.81,18298638000,725273000,5189000000,-15.40%,-55.35%,4/24/2025,-3.42%,2.30%,7/24/2025,D-
X,29.57,0.46021,-0.39,Materials,3.23,4.53%,53.04,11776058000,226419140,4230000000,35.93%,-87.61%,5/1/2025,21.87%,1.98%,7/31/2025,C
XOM,15.73,1.50637,1.76,Energy,4.66,6.47%,103.52,4.44E+11,4309638700,37551000000,-8.68%,-7.33%,5/2/2025,-3.25%,0.48%,8/1/2025,C+
XPEV,NM,-0.171147787,-0.062479174,Consumer Discretionary,3.45,88.30%,19.36,19012452000,950622600,2438196500,36.05%,NM,5/21/2025,-3.15%,-3.20%,8/20/2025,A-
XYZ,20.56,0.66351,0.56,Financials,2.91,36.05%,61.885,36105590000,614667840,6044957000,-17.62%,563.02%,5/1/2025,2.23%,5.35%,8/7/2025,D+
YUM,24.13,1.46028,1.3,Consumer Discretionary,3.17,6.66%,144.12,40429937000,277964500,12226000000,3.76%,-10.90%,4/30/2025,-0.98%,-0.43%,8/5/2025,B+
ZIM,5.26,1.43944,2.4375,Industrials,3.4,21.67%,17.51,2174258200,120457510,5878100000,-6.38%,NM,5/19/2025,-0.09%,-2.99%,8/18/2025,B+
ZM,14.12,1.37952,1.43,Information Technology,3.4,41.48%,78.6,23985975000,302547620,61477000,4.35%,23.84%,5/21/2025,-4.21%,-0.86%,8/18/2025,A-
ZS,82.38,0.75806,0.78,Information Technology,3.45,46.40%,257.18,39315600000,154724900,1239096000,28.79%,NM,3/5/2025,2.11%,1.21%,5/29/2025,A-
ZTS,26.11,1.607,1.48,Health Care,3.17,7.93%,166.52,72381920000,445208060,6779000000,-5.69%,7.32%,5/6/2025,0.72%,2.42%,8/5/2025,B
